season-end-year,team,shots_on_target,total_shots,corners,goals_scored,yellow_cards,points
2020,Sheffield United,115,354,212,39,61,
2020,Southampton,181,500,210,51,53,52.0
2020,Tottenham,160,445,200,61,82,59.0
2020,Watford,120,424,167,36,75,34.0
2020,West Ham,163,417,190,49,62,39.0
2020,Wolves,145,459,193,51,57,59.0
2021,Arsenal,152,459,208,55,47,61.0
2021,Aston Villa,187,511,215,55,63,55.0
2021,Brighton,143,487,219,40,45,41.0
2021,Burnley,130,384,172,33,48,39.0
2021,Chelsea,209,558,227,58,48,67.0
2021,Crystal Palace,131,349,151,41,54,44.0
2021,Everton,148,400,167,47,58,59.0
2021,Fulham,136,442,164,27,66,28.0
2021,Leeds,199,522,231,62,61,
2021,Leicester,185,484,214,68,60,
2021,Liverpool,214,608,260,68,40,69.0
2021,Man City,219,604,247,83,46,
2021,Man United,212,521,197,73,64,
2021,Newcastle,142,397,161,46,61,
2021,Sheffield United,99,325,171,20,73,
2021,Southampton,166,423,178,47,52,43.0
2021,Tottenham,176,444,168,68,53,62.0
2021,West Brom,112,340,145,35,51,26.0
2021,West Ham,165,468,168,62,48,65.0
2021,Wolves,154,462,209,36,53,45.0
2022,Arsenal,197,588,209,61,60,69.0
2022,Aston Villa,162,454,196,52,77,45.0
2022,Brentford,154,442,159,48,61,46.0
2022,Brighton,152,490,202,42,71,51.0
2022,Burnley,125,407,184,34,68,35.0
2022,Chelsea,211,592,242,76,63,74.0
2022,Crystal Palace,147,412,176,50,67,48.0
2022,Everton,138,438,161,43,76,39.0
2022,Leeds,154,485,171,42,100,
2022,Leicester,169,435,185,62,54,
2022,Liverpool,256,730,285,94,50,92.0
2022,Man City,254,715,317,99,42,
2022,Man United,187,508,199,57,75,
2022,Newcastle,148,448,160,44,79,
2022,Norwich,109,374,165,23,55,
2022,Southampton,170,482,234,43,63,40.0
2022,Tottenham,198,491,195,69,67,71.0
2022,Watford,127,396,162,34,57,23.0
2022,West Ham,158,433,191,60,47,56.0
2022,Wolves,136,402,168,38,59,51.0
2023,Arsenal,204,593,223,88,51,84.0
2023,Aston Villa,151,431,165,51,80,61.0
2023,Bournemouth,133,355,144,37,68,39.0
2023,Brentford,162,397,163,58,55,59.0
2023,Brighton,231,612,233,72,59,62.0
2023,Chelsea,158,484,209,38,77,44.0
2023,Crystal Palace,136,425,186,40,78,45.0
2023,Everton,152,429,175,34,79,36.0
2023,Fulham,149,429,185,55,80,52.0
2023,Leeds,145,465,201,48,84,
2023,Leicester,152,417,135,51,58,
2023,Liverpool,212,605,236,75,57,67.0
2023,Man City,219,603,240,94,43,
2023,Man United,214,592,195,58,78,
2023,Newcastle,197,571,270,68,57,
2023,Nott'm Forest,118,368,128,38,84,
2023,Southampton,142,417,157,36,73,25.0
2023,Tottenham,200,520,203,70,75,60.0
2023,West Ham,145,474,207,42,44,40.0
2023,Wolves,125,413,186,31,83,41.0
2024,Arsenal,227,657,256,91,62,89.0
2024,Aston Villa,190,514,233,76,94,68.0
2024,Bournemouth,185,542,236,54,80,48.0
2024,Brentford,172,473,185,56,88,39.0
2024,Brighton,208,562,206,55,89,48.0
2024,Burnley,142,433,181,41,71,24.0
2024,Chelsea,215,548,203,77,104,63.0
2024,Crystal Palace,169,456,178,57,69,49.0
2024,Everton,162,507,185,40,79,40.0
2024,Fulham,178,500,212,55,77,47.0
2024,Liverpool,277,790,287,86,65,82.0
2024,Luton,141,431,204,52,71,
2024,Man City,278,690,282,96,51,
2024,Man United,193,550,226,57,80,
2024,Newcastle,213,551,193,85,76,
2024,Nott'm Forest,148,451,148,49,75,
2024,Sheffield United,129,368,142,35,93,
2024,Tottenham,214,582,235,74,88,66.0
2024,West Ham,150,450,168,60,76,52.0
2024,Wolves,159,427,158,50,98,46.0
